id,name,x,y,capacity,0:00,0:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
360,Howick Place Westminster,529298,179182,27,19,19,19,19,19,19,19,19,19,19,19,19,18,21,19,19,21,21,24,25,25,25,25,22,25,22,23,24,22,23,21,22,21,20,19,19,10,5,2,1,0,0,2,7,7,5,5,5
361,Waterloo Station 2 Waterloo,531034,180024,54,49,49,49,49,51,51,51,51,51,51,52,52,52,49,38,35,14,1,0,0,0,15,11,9,9,8,6,7,6,6,6,6,5,5,5,23,52,52,52,52,52,52,52,52,52,52,53,53
362,Royal College Street Camden Town,529518,183584,53,26,26,26,26,25,25,25,25,25,25,25,25,25,24,25,23,19,15,13,15,14,11,11,7,9,9,10,10,11,10,10,9,10,10,8,9,6,7,8,6,23,23,25,27,27,27,31,31
363,Lord's St. John's Wood,526956,182725,22,16,16,16,16,16,16,16,15,15,15,15,15,15,15,15,16,16,13,13,12,12,12,13,13,13,13,13,13,12,11,11,11,12,13,11,11,10,10,10,10,9,10,10,10,10,8,8,10
364,Alfred Place Bloomsbury,529677,181741,40,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,12,23,29,33,37,38,39,39,38,38,39,38,39,38,38,38,37,34,31,23,8,1,0,0,1,0,0,1,1,1,1,1
365,City Road Angel,531878,182987,45,22,22,22,22,22,22,22,22,22,22,22,22,21,20,20,22,12,23,23,19,17,19,16,16,15,14,17,14,14,14,12,11,17,16,14,15,14,18,20,23,25,25,24,24,24,24,25,25
366,Millennium Hotel Mayfair,528398,180736,26,4,4,4,4,4,4,4,4,4,4,5,5,5,5,6,7,13,26,26,26,25,17,17,18,18,18,18,18,17,18,19,19,19,16,15,8,0,14,9,7,4,2,1,1,1,0,0,0
367,Harrowby Street Marylebone,527472,181431,16,9,11,11,11,11,11,11,11,11,11,11,11,11,11,10,8,6,4,2,1,1,1,1,1,2,3,3,2,3,3,3,3,1,3,5,7,10,10,9,8,9,9,9,10,10,11,11,11
368,Harriet Street Knightsbridge,527858,179534,25,8,8,7,7,7,7,7,7,7,7,7,7,7,7,7,8,7,10,11,11,11,12,13,11,12,13,13,15,16,15,15,14,15,13,9,8,7,9,10,11,6,7,6,6,5,5,5,5
369,Victoria Embankment Temple,531426,180839,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,10,14,17,14,15,18,18,18,18,20,19,19,18,18,19,18,19,20,18,12,0,0,1,1,3,1,0,0,0,0,0,0
370,Paddington Green Paddington,526744,181728,20,7,7,8,7,7,7,7,7,7,7,7,7,7,7,7,6,4,2,1,1,1,1,1,1,1,1,1,2,2,4,4,4,5,5,6,6,6,5,5,5,4,3,2,3,3,3,3,5
371,King Edward Walk Waterloo,531298,179345,21,17,17,17,17,17,17,17,17,17,17,17,17,16,16,16,15,16,17,16,14,13,13,12,12,12,12,13,15,16,16,17,16,14,13,12,13,13,14,15,16,17,15,16,14,14,14,14,14
372,Sardinia Street Holborn,530694,181271,23,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,6,11,12,17,20,21,23,23,16,19,20,21,23,22,23,23,19,18,16,12,4,1,0,0,0,0,0,0,0,0,0,0
