id,name,x,y,capacity,0:00,0:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
452,St Katharines Way Tower,534005,180299,23,20,20,20,20,20,20,20,20,20,20,21,21,21,20,21,20,20,21,21,20,20,20,21,20,20,21,21,21,21,21,21,20,19,18,17,15,13,15,16,15,13,13,13,13,14,14,14,15
453,Garnet Street Shadwell,535064,180633,24,16,16,16,16,16,16,16,16,16,16,17,17,17,17,15,11,3,0,0,17,18,18,18,17,18,18,17,17,17,17,17,17,17,20,20,21,21,22,22,22,21,22,22,22,22,22,22,22
454,Napier Avenue Millwall,537457,178387,19,18,18,18,17,17,17,17,17,17,17,18,16,15,15,12,11,8,2,1,1,1,1,0,0,0,0,0,0,0,3,3,3,3,3,3,6,5,7,9,11,13,14,16,16,19,19,19,19
455,East Ferry Road Cubitt Town,537934,179155,16,10,10,10,10,10,10,10,10,10,10,10,11,11,11,10,10,10,10,10,10,10,10,11,11,11,11,9,9,9,6,5,6,7,7,6,5,9,10,9,9,10,9,9,10,9,9,9,9
456,Parkway Camden Town,528770,183767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
457,Castlehaven Road Camden Town,528708,184217,27,24,23,23,23,23,23,23,23,23,23,25,25,24,23,20,17,12,9,4,2,3,3,3,2,1,0,1,2,4,5,1,4,4,6,4,4,4,7,9,9,13,17,19,20,23,23,24,24
458,Wapping Lane Wapping,534910,180218,28,25,26,26,26,26,26,26,26,26,26,27,27,27,27,25,26,21,13,10,9,9,5,4,4,2,2,4,5,6,5,5,4,6,6,8,17,27,27,27,27,25,26,26,26,26,26,26,26
459,Gun Makers Lane Old Ford,536496,183647,17,11,11,12,12,12,12,12,12,12,12,13,13,13,14,12,13,10,8,6,6,6,6,6,6,6,2,2,2,2,2,3,3,4,4,5,6,7,8,11,8,7,7,8,8,8,8,9,9
460,Burdett Road Mile End,536847,181544,32,29,30,30,30,31,31,31,31,31,31,31,31,31,31,30,30,29,27,27,26,24,23,23,23,26,22,21,22,26,26,28,29,29,29,31,31,31,31,31,29,29,29,28,29,29,28,29,30
461,Aston Street Stepney,536179,181503,25,20,20,20,20,20,20,20,20,20,20,21,21,21,20,19,19,17,13,13,12,12,13,10,10,11,11,11,8,7,8,7,7,5,6,5,8,11,14,15,14,17,18,18,22,23,23,24,24
462,Bonny Street Camden Town,529163,184169,45,41,41,41,41,41,41,42,42,43,43,45,45,45,44,41,37,30,24,18,13,10,10,10,9,9,6,6,7,9,7,6,6,5,6,6,7,16,26,29,29,34,35,34,35,36,35,34,34
463,Thurtle Road Haggerston,533827,183530,21,7,7,7,7,7,7,7,7,7,7,7,7,7,7,9,10,5,0,0,1,0,1,1,1,1,6,6,6,6,6,7,7,7,8,8,8,10,9,13,14,18,21,21,21,21,21,21,21
464,St. Mary and St. Michael Church Stepney,535260,181276,24,13,16,16,16,16,16,16,16,16,16,15,15,15,14,13,13,12,9,9,9,9,8,9,10,8,8,8,6,9,9,8,8,8,10,11,11,13,14,15,14,15,15,15,14,15,19,19,19
465,Pitfield Street (North)Hoxton,533089,183601,27,23,23,23,23,23,23,23,23,22,22,23,23,22,17,14,10,3,0,0,0,0,0,1,1,1,0,0,10,19,20,21,21,18,17,17,19,26,26,26,26,26,26,26,26,25,26,26,26
466,Whiston Road Haggerston,533519,183488,21,6,6,6,6,6,6,6,6,6,6,5,5,5,5,4,2,0,0,0,1,0,1,2,2,2,8,8,6,6,7,6,12,17,17,15,16,20,20,20,20,20,20,20,20,20,20,20,20
467,Southern Grove Bow,536727,182357,17,16,16,16,16,16,16,16,16,16,16,17,17,17,17,16,15,14,12,12,15,15,15,16,17,17,16,16,14,14,13,13,16,17,17,17,15,17,17,17,17,17,17,17,16,16,16,16,16
468,Cantrell Road Bow,537278,182152,23,16,16,16,17,17,18,18,18,18,18,18,18,18,18,19,19,19,19,17,17,16,16,16,16,16,16,16,15,15,15,15,14,14,14,12,12,13,13,13,14,14,14,17,19,19,19,19,20
469,Lindfield Street Poplar,537456,181289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Mostyn Grove Bow,537057,183145,46,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,5,1,0,0,0,0,0,0,0,0,0,1,1,1,2,4,4,4,4,3,4,6,4,6,6,8,9,8,8,8,10,10,12
471,Hewison Street Old Ford,536864,183446,17,10,10,10,10,10,10,10,10,10,10,10,10,9,9,8,7,7,7,6,7,7,6,7,7,7,6,4,5,6,5,5,6,6,6,6,4,3,8,7,8,10,11,13,13,13,14,15,15
472,Malmesbury Road Bow,536913,183020,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
473,Millharbour Millwall,537586,179331,18,14,14,14,14,14,14,14,14,14,14,14,14,14,14,15,15,15,14,13,13,13,13,13,14,16,16,16,16,16,16,16,16,16,16,16,16,15,10,9,12,12,12,12,12,12,12,13,13
474,Castalia Square Cubitt Town,538128,179567,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,36,36,35,35,34,34,35,35,35,35,33,33,33,33,33,33,33,33,34,35,35,35,35,37,37,37,37,37,37,37,37
475,Lightermans Road Millwall,537522,179653,56,39,39,39,39,39,39,39,39,39,39,39,39,39,39,38,37,37,37,37,38,38,38,38,38,38,38,38,41,41,41,41,41,42,42,42,41,40,41,43,44,43,39,40,40,40,40,40,40
476,Stebondale Street Cubitt Town,538312,178567,29,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,21,21,21,21,20,19,19,19,20,23,23,23,23,23,25,25,25,25,25,25,25,25,25,25
477,Spindrift Avenue Millwall,537646,178771,36,19,20,20,20,20,20,20,20,20,20,19,19,19,19,17,15,14,12,11,11,10,10,8,8,8,7,8,8,9,6,8,8,11,8,9,9,10,12,12,13,14,13,15,16,16,16,16,16
478,Stepney Green Station Stepney,535614,182144,18,11,11,10,12,12,12,11,9,9,11,13,13,11,9,8,9,9,8,9,10,11,11,10,11,12,10,9,9,7,6,6,4,5,3,2,6,2,3,2,6,9,11,14,14,14,14,15,15
479,Pott Street Bethnal Green,534812,182708,20,3,3,4,5,5,5,5,5,5,5,7,8,8,9,10,7,2,0,0,0,0,1,0,0,1,3,2,2,2,2,2,0,0,6,9,9,15,12,16,14,16,15,13,12,12,13,10,14
480,Flamborough Street Limehouse,536173,181155,24,23,22,21,21,21,21,21,21,21,21,21,21,21,19,18,15,12,8,6,7,7,7,9,10,9,10,9,9,9,10,10,11,11,10,10,11,17,16,16,18,23,23,23,23,23,23,22,21
481,Saunders Ness Road Cubitt Town,538332,178349,34,25,25,25,25,27,27,27,27,27,27,27,26,26,26,26,26,26,22,23,22,22,22,22,22,22,22,21,23,23,25,26,25,22,22,21,26,24,25,29,31,31,31,31,31,31,31,31,31
482,Thornfield House Poplar,537238,180847,26,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,23,22,23,23,23,22,22,22,21,21,21,21,21,21,23,23,23,24,24,24,23,22,22,22,22,22,22,23,23,24,25,25
483,Albert Gardens Stepney,535562,181184,33,24,24,24,23,23,23,23,23,23,23,22,22,22,20,19,16,15,14,12,11,11,11,8,6,8,7,7,7,8,7,6,6,7,7,9,10,11,13,13,12,16,19,19,22,23,24,26,27
484,Bromley High Street Bromley,537910,182978,24,20,21,21,21,21,21,21,21,21,21,22,22,22,22,21,21,20,20,19,18,18,18,18,18,17,17,18,18,18,18,19,20,20,19,19,20,20,21,21,22,22,22,22,22,23,23,23,23
485,Old Ford Road Bethnal Green,535493,183169,24,15,15,15,15,15,15,15,15,15,15,15,15,15,15,13,10,9,5,3,3,2,2,2,2,1,1,1,1,1,1,2,1,1,0,0,0,2,7,9,10,11,10,10,10,12,12,12,13
486,Granby Street Shoreditch,534016,182520,33,20,20,20,20,20,20,20,20,20,20,22,22,21,20,19,17,13,5,2,0,1,0,3,4,5,5,4,4,4,4,7,5,8,7,10,12,13,11,11,11,13,13,13,16,16,16,21,21
487,Canton Street Poplar,537104,181062,21,15,16,16,17,17,17,17,17,17,17,16,16,16,15,14,12,12,10,10,10,9,9,9,9,9,9,8,8,8,10,8,8,7,8,8,11,15,17,16,18,20,19,20,19,19,19,22,22
488,Reardon Street Wapping,534824,180460,22,20,20,20,20,20,20,20,21,21,21,21,21,19,17,14,11,8,2,0,0,0,0,0,2,0,0,1,1,2,4,3,5,5,5,7,8,13,18,18,18,19,19,18,19,19,20,20,20
489,Christian Street Whitechapel,534431,181132,34,22,22,23,23,23,24,24,24,24,24,24,22,21,17,17,17,13,5,0,0,0,1,1,0,0,2,2,3,3,2,3,2,2,4,4,5,7,20,19,20,22,22,22,25,25,26,26,26
490,Pennington Street Wapping,534381,180635,45,40,40,40,40,40,40,40,40,40,40,40,40,39,38,38,33,33,32,35,42,42,42,42,42,42,41,41,41,41,42,43,43,43,43,43,43,43,43,42,43,43,43,43,43,43,43,43,43
491,Queen Marys Mile End,535979,182222,43,21,21,21,24,24,24,24,26,26,26,26,26,26,25,28,28,29,30,31,32,31,32,33,36,38,38,39,38,39,38,35,34,36,36,34,34,31,34,30,31,32,33,30,27,28,26,26,31
492,The Green Bridge Mile End,536372,182475,63,61,61,62,62,62,62,62,62,62,62,62,62,62,62,63,62,60,58,59,61,62,61,60,59,58,60,58,57,54,54,53,53,53,53,53,56,60,59,61,58,60,61,58,59,57,60,57,57
494,South Quay East Canary Wharf,537784,179985,35,10,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,4,4,3,3,3,2,1,1
495,Bow Church Station Bow,537535,182894,39,38,38,38,38,38,38,38,38,38,38,37,36,36,36,34,33,31,28,26,24,26,25,25,25,25,25,25,26,26,26,29,29,29,28,28,31,33,36,35,35,34,33,32,32,33,34,35,35
496,Devons Road Bow,537761,182561,38,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,33,31,30,29,29,29,30,31,31,31,31,31,31,32,32,32,32,32,34,33,33,33,34,35,36,36,35,35,35,35,36,36
497,Coborn Street Mile End,536852,182694,27,23,23,23,23,23,23,23,23,23,23,25,26,25,25,25,26,26,25,25,25,26,26,26,26,26,26,26,26,26,26,24,24,23,23,23,25,26,26,26,26,26,26,26,26,24,25,25,24
498,Bow Road Station Bow,537081,182759,41,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,38,36,33,33,32,33,30,29,28,28,29,30,30,29,29,27,26,26,27,29,32,37,40,42,42,41,42,41,41,41,41,42,41
499,Furze Green Bow,537378,181899,35,34,34,34,34,34,34,34,34,34,33,34,34,34,35,34,31,25,24,18,17,16,14,13,13,12,12,14,14,16,17,16,14,11,11,11,15,18,21,24,24,24,24,25,25,25,25,25,26
500,Sidney Street Stepney,534991,181895,42,35,35,34,34,32,32,32,32,32,31,30,30,30,30,31,34,33,29,28,27,27,27,30,27,25,24,23,22,22,24,25,23,23,24,23,22,21,20,24,27,27,27,28,29,29,29,29,27
501,Cephas Street Bethnal Green,535042,182203,22,21,21,21,21,21,22,22,22,22,22,22,22,22,22,22,22,21,16,17,15,16,15,14,14,14,14,14,14,14,14,13,12,14,13,13,14,15,18,21,21,19,19,20,21,21,21,21,21
502,South Quay West Canary Wharf,537334,180048,60,26,26,26,26,26,26,26,27,27,27,28,29,29,29,32,36,37,41,42,43,43,45,45,45,44,43,43,43,44,43,43,43,43,42,40,38,36,30,27,27,26,25,25,25,25,25,25,25
503,Cleveland Way Bethnal Green,535289,182025,36,33,33,33,33,33,33,33,33,33,33,33,33,33,33,32,32,30,27,24,22,23,22,23,22,23,23,21,21,21,21,22,23,25,26,27,26,28,32,33,33,32,32,32,32,30,30,32,32
504,St John's Park Cubitt Town,538269,179385,30,28,28,28,28,28,28,28,28,28,28,28,27,27,26,26,27,26,25,25,25,25,25,26,25,25,25,25,25,25,23,23,23,24,25,25,25,25,25,25,25,24,25,25,25,25,25,25,25
505,Ackroyd Drive Bow,536999,182015,27,23,23,23,23,24,24,24,24,24,24,24,24,24,24,24,21,21,20,19,19,18,18,18,18,18,17,16,17,17,19,19,18,18,18,18,19,21,23,24,24,24,25,24,24,24,24,25,25
506,Bell Lane Liverpool Street,533602,181599,23,9,6,6,6,6,6,6,6,6,6,6,5,5,4,5,9,8,14,19,18,20,21,21,21,21,21,20,18,18,17,15,16,17,18,18,16,7,6,5,0,0,1,1,1,4,4,3,3
507,Clarkson Street Bethnal Green,534732,182878,30,19,19,19,19,19,19,19,21,21,21,22,22,22,21,20,17,16,13,13,11,11,10,11,11,11,10,10,10,10,10,10,6,4,4,4,5,7,7,8,8,9,10,11,11,11,11,11,12
508,Fournier Street Whitechapel,533695,181812,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,17,18,18,18,17,17,17,17,16,17,15,15,13,14,9,9,8,8,7,2,0,2,1,0,0,0,0,0,0,0,0
509,Fore Street Guildhall,532614,181614,17,0,0,0,0,0,0,0,0,0,0,0,0,1,3,6,12,13,16,17,17,17,17,15,13,14,14,14,16,16,16,15,15,14,13,13,9,2,2,2,0,0,0,0,0,0,0,0,0
510,Westferry DLR Limehouse,537086,180783,39,33,33,33,33,33,33,33,33,33,33,35,36,36,34,33,34,36,38,37,37,38,38,38,38,38,38,38,38,38,38,38,38,34,34,38,38,34,24,27,27,27,28,30,32,32,32,32,33
511,Sutton Street Shadwell,535168,180928,32,12,12,13,13,13,13,13,13,13,13,18,18,17,16,16,16,11,6,5,2,3,3,1,0,2,3,3,3,3,3,4,5,5,5,5,5,8,7,9,23,24,24,25,21,22,22,22,22
512,Pritchard's Road Bethnal Green,534560,183251,30,26,26,25,25,25,25,25,28,28,28,28,28,28,28,24,20,15,10,2,0,1,0,0,0,2,2,1,1,0,2,4,3,2,5,5,8,11,18,21,22,23,24,26,26,25,26,27,27
513,Watney Market Stepney,535013,181275,49,38,38,38,38,40,40,40,40,40,40,40,40,38,37,36,38,34,30,29,29,27,26,24,24,25,26,25,25,25,23,23,25,24,23,23,18,25,24,23,22,20,20,18,21,22,23,25,25
514,Portman Square Marylebone,528078,181316,16,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,5,9,10,9,12,14,12,10,9,12,14,14,14,14,13,14,14,12,9,9,6,5,2,3,5,4,4,4,4,3,4,3
515,Russell Gardens Holland Park,524251,179427,23,9,9,9,9,9,9,9,9,9,9,9,9,8,8,8,8,5,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,7,11,14,14,14,14,15,16,17,17,18,17
516,Chrisp Street Market Poplar,537882,181015,17,8,10,10,10,10,10,10,10,10,9,9,9,9,9,8,10,9,9,11,10,10,10,9,9,10,10,10,10,8,8,7,7,8,9,9,10,11,12,13,15,15,15,15,14,14,15,16,16
517,Ford Road Old Ford,536524,183351,18,15,15,15,15,15,15,15,15,15,15,16,16,16,15,15,16,14,13,11,11,11,12,12,12,13,13,12,11,10,8,9,9,10,10,9,8,7,9,11,12,12,14,14,14,14,14,14,14
518,Antill Road Mile End,536233,182865,28,25,25,25,25,25,25,25,25,25,25,25,25,24,23,22,22,21,21,20,19,19,19,19,19,20,19,19,19,20,17,16,17,17,17,18,18,20,21,26,26,26,25,24,24,23,23,23,24
519,Teviot Street Poplar,538051,181867,32,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,16,15,15,15,15,16,15,15,15,14,14,14,14,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
520,Bancroft Road Bethnal Green,535563,182604,21,8,8,8,10,10,10,10,10,10,10,10,8,8,8,8,7,4,0,1,0,0,0,0,0,0,0,1,1,1,2,2,2,4,4,5,6,6,9,7,9,9,10,10,12,13,12,12,15
521,Driffield Road Old Ford,536222,183524,17,11,11,11,11,11,11,11,11,11,11,12,12,12,12,12,11,4,3,3,3,3,3,2,2,4,4,3,3,3,3,3,5,5,5,8,6,12,12,13,13,14,14,15,15,17,18,18,18
522,Clinton Road Mile End,536341,182614,33,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,29,26,26,25,26,25,26,28,30,30,30,30,31,31,29,30,29,29,29,29,30,29,34,34,34,34,34,33,33,34,34,34,34
523,Langdon Park Poplar,537936,181495,24,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,14,15,15,15,14,13,13,14,14,14,14,14,12,13,11,14,14,15,14,15,14,14,14,16,16,18,19,19,19,19,20
524,Lancaster Gate  Bayswater,526416,180768,37,22,22,22,22,22,23,22,22,22,22,22,21,21,21,21,19,18,16,14,7,5,5,5,15,14,14,14,14,15,15,15,14,14,13,15,14,13,15,19,21,24,24,24,24,26,27,33,35
525,Churchill Place Canary Wharf,537911,180295,18,1,1,1,1,1,1,1,1,1,1,1,1,3,4,6,9,12,16,9,11,5,6,6,6,4,5,6,6,6,6,7,3,2,1,0,4,1,0,0,0,0,0,0,0,0,2,2,2
526,Lancaster Drive Blackwall,538323,180131,25,22,22,22,22,22,22,22,22,22,22,23,23,23,21,21,21,20,20,19,18,17,17,17,16,16,15,16,18,17,17,17,17,16,14,13,14,16,15,15,15,18,18,20,20,20,19,21,21
527,Hansard Mews Shepherds Bush,523929,179833,19,15,15,16,16,16,16,16,16,16,16,16,16,16,17,17,14,12,12,16,14,14,14,14,14,14,14,14,13,13,13,13,13,14,17,12,14,16,16,16,16,14,13,14,13,12,12,12,12
528,Clarges Street West End,528776,180345,16,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,8,12,12,13,14,14,14,14,11,11,11,10,10,12,12,12,12,12,9,7,4,0,1,1,1,1,1,1,1,1,0,0,0
529,Manresa Road Chelsea,527087,178030,18,4,4,4,4,3,2,1,1,1,2,2,1,1,1,0,0,0,2,3,5,5,5,5,4,3,4,5,5,6,6,4,3,1,1,0,4,6,5,5,4,8,11,13,10,11,10,7,12
530,Newby Place Poplar,538029,180763,15,16,16,16,16,16,16,16,16,16,16,16,16,15,15,15,14,14,16,15,15,13,14,14,13,13,13,12,12,13,14,13,13,13,13,14,13,14,12,11,12,14,14,14,14,14,15,15,15
531,Twig Folly Bridge Mile End,535861,183090,21,15,15,15,15,15,15,15,15,15,15,14,15,14,13,12,9,4,1,1,1,2,2,4,2,1,1,1,1,2,3,6,3,2,3,2,4,9,12,15,16,17,20,19,20,21,21,21,21
532,Jubilee Plaza Canary Wharf,537514,180157,62,3,3,3,3,3,3,3,3,3,3,4,5,6,6,8,13,19,32,43,46,46,45,45,45,45,45,44,43,42,42,40,40,39,38,38,34,27,21,17,12,10,3,5,2,0,0,0,0
533,Wellington Row Bethnal Green,533994,182806,33,22,22,22,22,22,22,22,22,22,22,22,21,21,20,16,15,9,7,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8,14,15,16,19,19,19,20,21,21,20,21
534,Goldsmiths Row Haggerston,534241,183218,27,24,24,24,24,24,24,24,24,24,23,23,22,22,21,20,17,10,6,2,0,1,1,0,0,0,0,0,1,0,0,0,0,2,3,1,2,5,13,13,16,17,17,18,21,21,21,22,22
535,Gloucester Avenue Camden Town,528599,183682,24,13,14,14,14,14,14,14,14,14,14,13,13,13,13,10,6,5,1,1,1,1,1,1,7,7,4,4,4,5,5,5,3,2,4,1,3,6,10,9,11,12,14,14,15,11,13,13,13
536,Queensbridge Road Haggerston,533966,183431,34,9,10,11,11,11,11,11,11,11,11,11,11,11,11,11,8,0,0,0,12,20,16,16,14,11,10,10,10,10,11,11,10,10,9,9,9,11,16,20,21,21,22,24,25,25,26,28,29
537,Old Montague Street Whitechapel,534150,181664,17,8,8,10,10,10,10,10,10,10,10,10,10,10,8,7,4,3,0,0,3,3,3,3,4,4,6,8,8,6,6,8,8,8,8,3,4,6,7,8,8,8,10,10,11,11,12,10,10
538,Naval Row Blackwall,538405,180783,20,18,18,18,18,18,18,18,18,18,18,19,19,19,19,18,17,16,15,17,17,17,18,18,18,18,18,17,16,16,16,16,15,15,15,14,15,15,15,15,15,15,16,16,16,16,17,18,18
539,Hoxton Station Haggerston,533559,183113,22,0,0,0,0,11,11,11,11,11,11,11,10,9,8,9,5,0,0,0,0,0,0,0,1,0,1,1,1,2,3,1,1,1,2,1,4,9,11,15,17,21,22,21,21,20,18,18,18
540,Albany Street Regent's Park,528811,182681,26,11,11,11,11,11,11,11,11,11,11,12,12,11,11,12,10,10,8,8,8,7,6,6,4,3,3,4,5,5,4,6,6,6,6,6,8,11,12,13,13,13,13,13,13,12,12,13,13
541,Green Park Station West End,528985,180272,28,11,10,9,10,10,10,10,6,6,6,6,6,6,7,10,11,17,20,23,23,21,23,23,23,23,18,18,18,20,20,18,23,23,19,24,22,22,19,23,24,23,22,23,22,22,22,22,21
542,Salmon Lane Limehouse,536528,181303,33,33,33,33,33,33,33,33,33,33,33,32,32,32,31,31,30,28,25,24,24,24,24,25,23,23,23,23,23,21,22,22,20,19,17,16,17,20,22,25,25,27,30,31,31,31,31,31,30
543,Lansdowne Walk Notting Hill,524687,180496,20,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,5,7,3,5,5,5,3,3,3,2,2,2,2
544,Percival Street Finsbury,531749,182517,20,16,17,16,16,16,16,16,16,16,15,15,14,14,14,12,11,11,5,4,9,11,12,12,13,13,15,15,16,16,16,17,17,17,18,17,16,11,8,9,8,7,6,9,9,9,10,11,11
545,Arlington Road Camden Town,528724,183975,24,20,20,19,19,19,19,19,19,19,19,19,19,19,19,19,19,13,15,14,11,13,14,12,12,10,12,15,16,14,16,18,18,17,18,21,21,18,19,19,20,23,23,22,23,23,20,18,18
546,New Fetter Lane Holborn,531373,181536,17,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,7,15,16,16,16,16,16,14,15,16,14,15,16,14,15,16,13,14,11,4,0,0,0,0,0,0,2,0,0,0,0,0,1
547,East India DLR Blackwall,538731,180847,49,44,44,44,44,43,44,44,44,44,44,45,45,44,44,44,43,41,40,40,38,38,37,37,36,37,36,36,36,36,37,36,35,35,35,36,36,39,41,43,45,41,41,41,41,41,41,44,44
548,Westminster Bridge Road Elephant & Castle,531433,179419,26,21,21,21,21,21,21,21,21,21,21,21,21,20,20,20,20,20,21,19,21,20,20,21,22,21,22,22,21,21,21,22,22,22,21,18,15,18,16,16,16,16,18,18,18,19,19,19,19
549,Gaywood  Street Elephant & Castle,531698,179166,45,38,39,39,39,39,39,39,39,39,39,40,40,40,40,40,40,38,37,37,37,37,37,37,36,36,36,36,36,35,35,34,35,34,33,35,36,36,34,35,35,36,37,39,39,39,39,42,42
550,Harford Street Mile End,536128,182121,21,20,21,21,22,22,22,22,22,22,22,22,22,22,21,21,21,20,18,19,19,19,18,16,16,16,15,14,15,15,15,16,17,17,15,12,12,13,11,11,12,10,12,13,13,13,12,13,13
551,Montgomery Square Canary Wharf,537781,180150,39,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,5,11,18,19,19,19,19,20,19,19,19,19,20,20,20,18,18,19,17,15,13,11,4,1,0,1,0,0,0,0,0,0
552,Watney Street Shadwell,534951,180975,27,8,8,7,7,7,7,7,7,7,7,7,6,6,6,8,11,12,9,5,5,5,5,4,4,2,5,3,5,5,5,3,3,5,7,8,8,11,11,4,5,5,6,6,5,5,7,7,7
553,Regent's Row  Haggerston ,534472,183648,23,4,3,1,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,1,0,0,1,3,3,8,8,9,9,7,7,10,15,19,22,21,21,19,20,22,22,18,18,18,22
554,Aberfeldy Street Poplar,538484,181293,16,8,8,8,8,8,8,8,8,8,8,8,8,8,7,7,7,7,6,4,3,3,3,3,2,3,3,3,3,3,3,3,4,4,5,6,6,8,10,10,10,10,11,11,11,11,11,11,11
555,Westfield Eastern Access Road Shepherd's Bush,523643,180452,54,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,5,6,6,7,6,6,6,6,6,6,6,6,6,6
556,Heron Quays DLR Canary Wharf,537411,180053,27,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,5,6,11,11,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,11,8,8,8,7,6,6,7,7,7,7
557,King Edward Street St Pauls,532035,181395,20,1,1,1,1,0,0,0,0,0,0,0,0,1,2,6,5,5,7,16,18,18,18,17,15,14,13,14,14,15,15,13,11,12,12,9,7,2,0,2,0,0,0,0,0,0,0,0,0
558,John Islip Street Westminster,530127,178863,19,13,13,13,14,14,14,14,14,14,14,15,15,15,16,16,9,12,14,15,15,14,14,14,15,15,15,13,15,15,15,15,15,13,11,7,8,2,3,2,1,3,3,3,3,4,3,3,3
559,Abbotsbury Road Holland Park,524617,179581,23,6,6,6,6,7,7,7,7,7,7,8,8,8,9,9,8,8,7,7,7,6,7,7,7,7,7,7,7,7,7,7,8,8,7,7,6,6,7,7,8,8,8,8,8,7,7,7,7
560,Ladbroke Grove Central Notting Hill,524594,180720,21,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,1,0,0,0,0,0,7,7,5,4,3,3,3,4,4,2,2,1,2,1,1,2,3,3,4,2,1,1,1,1,1,3,4
561,Rectory Square Stepney,535853,181758,19,18,19,19,19,19,19,19,19,19,19,19,19,19,19,18,15,13,11,11,8,7,8,9,11,12,12,12,12,13,12,12,11,12,14,13,15,16,18,19,19,18,19,19,19,17,17,18,18
562,Bury Place Holborn,530307,181512,20,8,8,7,7,7,7,7,7,7,7,7,7,7,7,9,10,13,18,19,20,20,20,20,20,20,20,14,16,19,19,19,18,16,14,14,9,6,4,4,2,1,1,0,0,0,0,0,0
563,Preston's Road Cubitt Town,538285,179701,26,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,18,18,19,19,18,18,18,20,21,21,21,21,22,22
564,Somerset House Strand,530726,180686,38,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,5,7,11,12,12,12,12,12,18,24,23,23,23,22,22,21,21,21,22,24,24,24,18,21,19,19,19,18,16,15,14,13
565,Selby Street Whitechapel,534454,182115,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,15,14,13,13,13,13,13,14,14,14,14,14,14,14,14,13,13,13,15,17,17,16,17,17,17,17,17,17,17,17,17
566,Westfield Ariel Way White City,523339,180415,41,16,16,16,16,16,16,16,16,16,16,17,17,17,17,17,18,19,19,20,22,12,12,12,12,11,11,10,13,13,13,12,12,11,10,9,10,9,9,10,10,11,11,11,11,11,11,11,11
568,Bishop's Bridge Road West Bayswater,525897,181256,16,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,2,5,0,0,1,0,0,0,2,2,0,4,3,3,2,2,3,1,1,1,3,3,7,9,10,9,7,8,8,8,8,8,8
569,Pitfield Street Central Hoxton,533064,183216,21,22,22,22,22,22,22,22,22,22,22,22,22,21,21,19,16,14,4,1,1,1,0,0,0,0,0,2,0,7,7,6,6,4,6,6,8,13,20,21,21,21,22,22,22,22,22,22,22
